review text,rating,vader_label,distilbert_label,distilbert_confidence,rating_based_truth
"I have purchased this for approximately the past year and it has truly helped out 19 year old Maltese!  I was to the point a year ago having to give him Metacam (Pain medicine) everyday.  I have literally only used it for a few times in the past 8 months!  I now also have my son buying it for his pomeranian, who also has bad back legs.  KEEP selling this product I will buy it constantly!!!!!!",5,negative,positive,0.9230813384056091,positive
"I just had a big bowl of oatmeal and I'm not sick!  No heartburn or cramps!  I just feel full and happy!  It has been YEARS since I've been able to eat oatmeal!  These oats are delicious, chewy, wonderful!  I made the oatmeal in three minutes in the microwave...a quick breakfast or snack!  Tomorrow, I am going to create a recipe for oatmeal chocolate chip cookies...then, maybe oatmeal bread...then oatmeal muffins...then...  Having these oats available<a href=""http://www.amazon.com/gp/product/B002TXT502"">Bob's Red Mill Gluten Free Whole Grain, Rolled Oats, 32-Ounce Bags (Pack of 4)</a> gives me so many more gluten-free options for baking and cooking!  Hurrah!",5,positive,positive,0.9990239143371582,positive
"<a href=""http://www.amazon.com/gp/product/B000CMKPDI"">NEW! POOP-FREEZE Aerosol Freeze Spray (10 oz)</a> This product worked fine on regular poop, so what, I can pick that up with a baggie any day.  I purchased this product for when my dogs had loose stools but it did not work on hardening these stools up to prevent a messy clean up.  Sorry, it appeared to be a great idea!",1,positive,negative,0.9989166259765625,negative
"Apparently the other reviewer for this product has his underwear in a wad about the price - I don't think the other reviewer even tasted this product!  Yes, Bob's Red Mill products aren't cheap, but the company fills a very unique niche (Gluten-free products, unusual flours, etc.) and I'm willing to pay the price to keep the company from disappearing. Plus, every product from Bob's Red Mill that I've ever tried has been superior, including these grits!<br /><br />Now about the grits - as a native Southerner, I've eaten grits all my life but I'd never had a yellow, coarsely ground corn grit before I tried Bob's. From the moment my family tried these grits about two years ago, we've eaten no other grits.  We cook these grits every weekend, usually Saturday and Sunday mornings.  Oh, we've tried a few regional products (Lakeside yellow grits are good, too, and more finely ground), but just not as good as Bob's. I like the more coarse grind of this product, and the flavor is exceptional. The corn flavor comes through, but not in an overpowering way - not to sound like a geek foodie, but Bob's yellow grits have a fantastic taste and mouthfeel.  It's hard to explain, but I recommend you try them.  If you're not sure you want to bite off a multi-box purchase via Amazon, then check your local grocery store (Publix in the Southeast carries Bob's) as do many organic/gourmet grocers.<br /><br />Oh, and never follow the directions on a bag or box of grits - that's the reason non-Southerners think grits are nasty, because they make them without the necessary amounts of butter, salt and milk or cream.  Also, these are not quick cook grits, so it will take about 20 minutes from the time the water boils to achieve smooth, cooked grits.  To feed four people (assuming you also have pancakes and a meat for breakfast), use three cups water brought to a boil, then gently shake about 2/3 cup of grits into the water.  Once the water/grits combo comes to a boil, immediately lower the heat to simmer and stir frequently. [A note about lumps: if you don't stir often enough, you get lumps; if you dump the grits in, rather than shaking them in slowly, you get lumps.] Add about two or three tablespoons of butter, then an unholy amount of salt. I'm afraid to measure how much salt we actually use (we salt to taste as we cook), but I would guess we use two or more teaspoons of salt.  To avoid oversalting, start with one teaspoon of salt, taste when you're almost almost done, then add salt to taste.  Depending on how thick you like your grits, add additional water (we prefer to use 1% milk) to thin them out a bit.  You can also add crispy bacon or country ham to your final product for flavor.<br /><br />Any Southerner can tell you that grits left in a pot to cool become polenta... so go ahead, and impress your Yankee and West Coast friends by ""grilling up"" leftover slices of your breakfast for dinner. Remember, the Americas introduced corn to Europe (including Italy), so grits came first.",5,positive,positive,0.5,positive
"I have never used better salt.  It is better tasting, prettier, and has more real salt flavor than any other salt even though you use less to get that salty taste. Other  salt always gives me endema and raises my blood pressure.  RealSalt does not give me endema as do other salts, and my blood pressure has even gone down rather than up.  My whole family feels better.  We will never use other salts again.  We just finished using our first 25 # box, and love it.  By the way, we have found that it pours better than other salts, too.",5,negative,positive,0.9994713664054871,positive
"Please be warned, this item is NOT what the description claims!  You only get 10 Original Skittles, 4 Wild Berry Skittles, 4 Sour Skittles, 6 Original Starburst, 6 Tropical Starburst.",2,positive,negative,0.9996304512023926,negative
"As a health nut and vegan, I wanted something that would provide a good source of nutrition and an array of health benefits. Just then, I stumbled upon maca powder and after much research, I decided to go with Navitas Naturals. I must say, I am now obsessed with this stuff; I can finish an entire bag in one week. However, I will admit when I first tasted maca powder, I was not too fond of the flavor. After trying many suggestions such as mixing it with coffee, I discovered that the best way, and most delicious way is to drink it with soy or some alternative milk. I personally love it mixed with soy milk and a hint of cinnamon powder :D. I have noticed an increase in my energy that lasts throughout the day... this is very important to me as a college student who deals with daily stress and tries to eat as best and healthy as I can while living in a new environment. So, to the people who are curious and interested in trying Navitas Naturals Maca Powder, I hope this review helps!",5,positive,positive,0.9986975193023682,positive
"I have purchased halva from this company in the past and have received delicious halva on those occasions.  Additionally, because we were happy with the product, the amount of halva we ordered progressively increased until we purchased 5 pounds.<br /><br />Unfortunately, on our latest order of 2 pounds, upon opening the package, we discovered that the halva appeared to have somewhat of a pungent odor.  We then tasted the halva and immediately found it to have a rotten taste.  Upon closer inspection, I discovered that the halva had possibly come in contact with moisture or that the halva sent was dated.  I began the inquiry process and explained the incident with Parthenon foods.  I was shocked and dismayed when they sent me the following reply (verbatim):<br /><br />""Hello,<br />We are sorry, but this item is not old and very fresh.  Are you referring to the package being a little oily, which would be normal?  Halva is not perishable and can not be ""rotten"" This product is very fresh and perfect to consume.<br />Sincerely,<br />ParthenonFoods.com""<br /><br />I laughed out loud due to their statement, ""this item is not old and very fresh"", which essentially admits their item is not very fresh!  Pretty funny huh?  Anyways, they were not willing to rectify the issue, even though we spent a considerable amount of money on their product on numerous occasions.<br /><br />Fortunately, the outstanding service of Amazon came through as always, and they themselves rectified the issue by reimbursing me the full amount.  I then of course spent the same amount on a different brand of halva (through Amazon of course!)<br />I will never purchase food items from Parthenon foods again, bad customer service, unwillingness to rectify situation, prompt destruction of good will.  At least they were honest about the halva being ""...not old and very fresh""...!",1,positive,negative,0.9837485551834106,negative
"These caramels melt in your mouth & give you just the right right amout of chew.<br />If I had a lot of money,I would buy the company and take it international.<br />Suffice to say I would give away my brother for a box of these.<br />ISLAND ANGEL YOU WILL GO FAR!!!",5,neutral,positive,0.9995935559272766,positive
"I use this on my face in the evening.  At first it seems really greasy, but after about 5 minutes it totally soaks in - doesn't leave any residue/stains on my pillowcase.  I also use it on my lips.  Definitely recommend :)",5,positive,positive,0.9833510518074036,positive
